,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
168,169,David Johnson,RB52,HOU,10,0,0,0,402,2.7,28,225,1.3,114.4,5.1,0
169,169,Tevin Coleman,RB52,NYJ,6,0,0,0,479,3.6,25,175,0.5,114.4,5.1,0
170,171,Cleveland Browns,DST8,CLE,13,--,--,--,--,--,--,--,--,116,4.5,0
171,171,Seattle Seahawks,DST9,SEA,9,--,--,--,--,--,--,--,--,115.9,4.5,0
172,173,Zach Ertz,TE21,PHI,14,0,0,0,0,0,41,532,4.2,119.6,4.4,0
173,174,Justin Tucker,K6,BAL,8,--,--,--,--,--,--,--,--,137.2,4.2,0
174,174,Jason Sanders,K7,MIA,14,--,--,--,--,--,--,--,--,137.1,4.2,0
175,176,Salvon Ahmed,RB54,MIA,14,0,0,0,518,4.4,18,140,0.4,113,3.7,0
176,177,Indianapolis Colts,DST10,IND,14,--,--,--,--,--,--,--,--,114.2,3.6,0
177,178,Buffalo Bills,DST11,BUF,7,--,--,--,--,--,--,--,--,112.9,3,0
178,179,Greg Joseph,K8,MIN,7,--,--,--,--,--,--,--,--,134.2,2.7,0
179,180,Los Angeles Rams,DST12,LAR,11,--,--,--,--,--,--,--,--,111.9,2.5,0
180,180,Robbie Gould,K9,SF,6,--,--,--,--,--,--,--,--,133.8,2.5,0
181,180,Tyler Bass,K10,BUF,7,--,--,--,--,--,--,--,--,133.7,2.5,0
182,183,Giovani Bernard,RB55,TB,9,0,0,0,308,1.6,36,262,1.5,111.5,2.2,0
183,183,Jason Myers,K11,SEA,9,--,--,--,--,--,--,--,--,133.2,2.2,0
184,185,Dawson Knox,TE22,BUF,7,5,0,0,2,0,42,479,4.5,116.9,2,0
185,186,Pittsburgh Steelers,DST13,PIT,7,--,--,--,--,--,--,--,--,110.7,1.9,0
186,187,Tyrell Williams,WR63,DET,9,0,0,0,4,0,50,690,3.8,142.5,1.8,0
187,188,Arizona Cardinals,DST14,ARI,12,--,--,--,--,--,--,--,--,109.9,1.5,0
188,189,Adam Trautman,TE23,NO,6,0,0,0,0,0,41,485,4.4,116,1.2,0
189,190,Brandon McManus,K12,DEN,11,--,--,--,--,--,--,--,--,130.4,0.8,0
190,191,Matt Prater,K13,ARI,12,--,--,--,--,--,--,--,--,129.9,0.6,0
191,192,Blake Jarwin,TE24,DAL,7,0,0,0,0,0,48,470,3.4,115.2,0.4,0
192,193,Wil Lutz,K14,NO,6,--,--,--,--,--,--,--,--,129.1,0.2,0
193,194,Ryan Fitzpatrick,QB24,WAS,9,3855,24,14.8,149,1.6,0,0,0,245.1,0,0
194,194,Tristan Vizcaino,K15,LAC,7,--,--,--,--,--,--,--,--,128.7,0,0
195,196,Rashaad Penny,RB56,SEA,9,0,0,0,457,3.7,21,146,0.9,109.1,-0.2,0
196,197,Philadelphia Eagles,DST15,PHI,14,--,--,--,--,--,--,--,--,106.6,-0.3,0
197,198,Alexander Mattison,RB57,MIN,7,0,0,0,510,3.6,18,155,0.4,108.9,-0.4,0
198,199,Graham Gano,K16,NYG,10,--,--,--,--,--,--,--,--,128,-0.7,0
199,200,Dustin Hopkins,K17,WAS,9,--,--,--,--,--,--,--,--,127.9,-0.8,0
200,201,Derek Carr,QB25,LV,8,3797,22.7,8.9,90,1.7,0,0,0,244.1,-1,0
201,201,Kendrick Bourne,WR64,NE,14,0,0,0,71,0.3,45,602,4.3,139.7,-1,0
202,203,Cairo Santos,K18,CHI,10,--,--,--,--,--,--,--,--,127.6,-1.1,0
203,204,Rodrigo Blankenship,K19,IND,14,--,--,--,--,--,--,--,--,127.5,-1.2,0
204,205,Ben Roethlisberger,QB26,PIT,7,3920,26.7,11.5,11,0.3,0,0,0,243.5,-1.6,0
205,206,New York Giants,DST16,NYG,10,--,--,--,--,--,--,--,--,104.5,-2.4,0
206,206,Mason Crosby,K20,GB,13,--,--,--,--,--,--,--,--,126.3,-2.4,0
207,208,Quinn Nordin,K21,NE,14,--,--,--,--,--,--,--,--,126.1,-2.6,0
208,209,Chase McLaughlin,K22,CLE,13,--,--,--,--,--,--,--,--,125.9,-2.8,0
209,210,Emmanuel Sanders,WR65,BUF,7,0,0,0,0,0,50,628,4.2,137.5,-3.2,0
210,210,Chris Boswell,K23,PIT,7,--,--,--,--,--,--,--,--,125.5,-3.2,0
211,210,Gabriel Davis,WR65,BUF,7,0,0,0,18,0.3,43,633,4.6,137.5,-3.2,0
212,213,New Orleans Saints,DST17,NO,6,--,--,--,--,--,--,--,--,103,-3.9,0
213,214,Carson Wentz,QB27,IND,14,3373,22.3,12,266,2.4,0,0,0,241.1,-4,0
214,215,Chicago Bears,DST18,CHI,10,--,--,--,--,--,--,--,--,101.8,-5.1,0
215,216,Malcolm Brown,RB58,MIA,14,0,0,0,325,3.4,25,197,1,104,-5.3,0
216,217,Green Bay Packers,DST19,GB,13,--,--,--,--,--,--,--,--,101.5,-5.4,0
217,218,Justin Jackson,RB59,LAC,7,0,0,0,405,3.9,20,143,0.9,103.4,-5.9,0
218,219,Rondale Moore,WR67,ARI,12,0,0,0,71,0.6,48,542,3.6,134.6,-6.1,0
219,220,Ryan Santoso,K24,CAR,13,--,--,--,--,--,--,--,--,122.5,-6.2,0
220,220,Matt Gay,K24,LAR,11,--,--,--,--,--,--,--,--,122.5,-6.2,0
221,222,Kansas City Chiefs,DST20,KC,12,--,--,--,--,--,--,--,--,100.6,-6.3,0
222,223,Terrace Marshall Jr.,WR68,CAR,13,0,0,0,57,0.7,47,610,2.7,134,-6.7,0
223,224,Sam Ficken,K26,TEN,13,--,--,--,--,--,--,--,--,121.1,-7.6,0
224,225,Allen Lazard,WR69,GB,13,0,0,0,18,0,41,649,4.1,132.6,-8.1,0
225,226,New York Jets,DST21,NYJ,6,--,--,--,--,--,--,--,--,98.2,-8.7,0
226,227,Anthony Firkser,TE25,TEN,13,0,0,0,0,0,39,425,4.1,105.9,-8.8,0
227,228,Quintez Cephus,WR70,DET,9,0,0,0,2,0,47,626,3.7,131.6,-9.1,0
228,229,Evan McPherson,K27,CIN,10,--,--,--,--,--,--,--,--,119.4,-9.3,0
229,229,Zach Wilson,QB28,NYJ,6,3623,19.1,15.1,273,2.9,0,0,0,235.8,-9.3,0
